Image,Row,Col,Pixel_X,Pixel_Y,Northing,Easting,Average_NDVI,Vegetation_Ratio,Status,Latitude,Longitude
jpr_20240528_AB01_MS_aligned_sun-all,0,16,1056,27,4300385.721739285,621347.9849466707,0.52366817,0.8119318181818181,HEALTHY,38.843924098155895,-7.601716343305757
jpr_20240528_AB01_MS_aligned_sun-all,0,17,1120,27,4300385.721739285,621351.1849466516,0.5343342,0.8227272727272728,HEALTHY,38.843923656794644,-7.60167948016655
jpr_20240528_AB01_MS_aligned_sun-all,1,13,864,82,4300382.971930315,621338.3849467281,0.51788557,0.6178977272727273,HEALTHY,38.84390064939063,-7.601827417655494
jpr_20240528_AB01_MS_aligned_sun-all,1,14,928,82,4300382.971930315,621341.584946709,0.52828926,0.9491477272727272,HEALTHY,38.84390020806466,-7.601790554526638
jpr_20240528_AB01_MS_aligned_sun-all,1,15,992,82,4300382.971930315,621344.7849466898,0.49509776,1.0,HEALTHY,38.84389976672704,-7.60175369139859
jpr_20240528_AB01_MS_aligned_sun-all,1,16,1056,82,4300382.971930315,621347.9849466707,0.52782303,1.0,HEALTHY,38.843899325377805,-7.601716828271349
jpr_20240528_AB01_MS_aligned_sun-all,1,17,1120,82,4300382.971930315,621351.1849466516,0.54946035,0.9392045454545456,HEALTHY,38.84389888401692,-7.601679965144917
jpr_20240528_AB01_MS_aligned_sun-all,1,18,1184,82,4300382.971930315,621354.3849466324,0.5578754,1.0,HEALTHY,38.84389844264443,-7.601643102019292
jpr_20240528_AB01_MS_aligned_sun-all,1,19,1248,82,4300382.971930315,621357.5849466133,0.5595048,0.94375,HEALTHY,38.84389800126031,-7.601606238894475
jpr_20240528_AB01_MS_aligned_sun-all,1,20,1312,82,4300382.971930315,621360.7849465943,0.53520906,0.5974431818181818,HEALTHY,38.843897559864544,-7.601569375770467
jpr_20240528_AB01_MS_aligned_sun-all,2,12,800,137,4300380.222121344,621335.1849467471,0.46725297,0.7377840909090909,HEALTHY,38.84387631792521,-7.601864765699058
jpr_20240528_AB01_MS_aligned_sun-all,2,13,864,137,4300380.222121344,621338.3849467281,0.518768,0.9650568181818182,HEALTHY,38.84387587661124,-7.601827902582166
jpr_20240528_AB01_MS_aligned_sun-all,2,14,928,137,4300380.222121344,621341.584946709,0.48231193,0.9775568181818182,HEALTHY,38.843875435285646,-7.601791039466084
jpr_20240528_AB01_MS_aligned_sun-all,2,15,992,137,4300380.222121344,621344.7849466898,0.5296217,1.0,HEALTHY,38.843874993948425,-7.601754176350811
jpr_20240528_AB01_MS_aligned_sun-all,2,16,1056,137,4300380.222121344,621347.9849466707,0.5088913,0.9198863636363636,HEALTHY,38.843874552599566,-7.601717313236344
jpr_20240528_AB01_MS_aligned_sun-all,2,17,1120,137,4300380.222121344,621351.1849466516,0.5778313,1.0,HEALTHY,38.84387411123909,-7.601680450122688
jpr_20240528_AB01_MS_aligned_sun-all,2,18,1184,137,4300380.222121344,621354.3849466324,0.53488463,0.9829545454545454,HEALTHY,38.84387366986697,-7.601643587009838
jpr_20240528_AB01_MS_aligned_sun-all,2,19,1248,137,4300380.222121344,621357.5849466133,0.5546936,0.9494318181818182,HEALTHY,38.843873228483226,-7.601606723897796
jpr_20240528_AB01_MS_aligned_sun-all,2,20,1312,137,4300380.222121344,621360.7849465943,0.5658789,0.9667613636363636,HEALTHY,38.84387278708787,-7.6015698607865625
jpr_20240528_AB01_MS_aligned_sun-all,2,21,1376,137,4300380.222121344,621363.9849465751,0.5676731,0.9301136363636364,HEALTHY,38.843872345680865,-7.601532997676138
jpr_20240528_AB01_MS_aligned_sun-all,2,22,1440,137,4300380.222121344,621367.184946556,0.5718622,0.6522727272727272,HEALTHY,38.84387190426224,-7.6014961345665215
jpr_20240528_AB01_MS_aligned_sun-all,3,11,736,192,4300377.472312373,621331.9849467663,0.50447744,0.5673295454545455,HEALTHY,38.84385198644726,-7.601902113717278
