Waypoint,Latitude,Longitude,Altitude_m,Pump_PWM,Spray_Duration
1,38.843551182371385,-7.601942371020544,5,180,3
2,38.843551182371385,-7.60161302888666,5,180,3
3,38.843571182371385,-7.60161302888666,5,180,3
4,38.843571182371385,-7.601942371020544,5,180,3
5,38.84359118237138,-7.601942371020544,5,180,3
6,38.84359118237138,-7.60161302888666,5,180,3
7,38.84361118237138,-7.60161302888666,5,180,3
8,38.84361118237138,-7.601942371020544,5,180,3
9,38.84363118237138,-7.601942371020544,5,180,3
10,38.84363118237138,-7.60161302888666,5,180,3
11,38.84365118237138,-7.60161302888666,5,180,3
12,38.84365118237138,-7.601942371020544,5,180,3
13,38.84367118237138,-7.601942371020544,5,180,3
14,38.84367118237138,-7.60161302888666,5,180,3
15,38.84039472520489,-7.630991966152739,5,180,3
16,38.84039472520489,-7.63064806601203,5,180,3
17,38.84041472520489,-7.63064806601203,5,180,3
18,38.84041472520489,-7.630991966152739,5,180,3
19,38.84043472520489,-7.630991966152739,5,180,3
20,38.84043472520489,-7.63064806601203,5,180,3
21,38.840454725204886,-7.63064806601203,5,180,3
22,38.840454725204886,-7.630991966152739,5,180,3
23,38.840474725204885,-7.630991966152739,5,180,3
24,38.840474725204885,-7.63064806601203,5,180,3
25,38.84049472520488,-7.63064806601203,5,180,3
26,38.84049472520488,-7.630991966152739,5,180,3
27,38.84051472520488,-7.630991966152739,5,180,3
28,38.84051472520488,-7.63064806601203,5,180,3
29,38.84053472520488,-7.63064806601203,5,180,3
30,38.84053472520488,-7.630991966152739,5,180,3
