Mission_ID,Grid_ID,Image,Row,Col,Pixel_X,Pixel_Y,Northing,Easting,Average_NDVI,Average_NDRE,Average_SAVI,Vegetation_Ratio,Canopy_Coverage,Crop_Stress_Indicator,Average_Red,Average_Green,Average_NIR,Temperature,Humidity,Rainfall,Wind_Speed,Soil_Moisture,Soil_pH,Crop_Type,Crop_Growth_Stage,Status
20260724_123113,G_0_16,jpr_20240528_AB01_MS_aligned_sun-all,0,16,1056,27,4300385.721739285,621347.9849466707,0.52366817,0.11953699,3.3781722e-05,0.8119318181818181,81.2784090909091,47.633183,5.033581e-06,4.9640503e-06,1.6294647e-05,28.11,79.11,3.54,4.98,42.1,7.15,Wheat,Vegetative,HEALTHY
20260724_123113,G_0_17,jpr_20240528_AB01_MS_aligned_sun-all,0,17,1120,27,4300385.721739285,621351.1849466516,0.5343342,0.11908541,3.4144723e-05,0.8227272727272728,82.8409090909091,46.56658,4.8393554e-06,4.7636427e-06,1.6221426e-05,28.89,74.33,7.16,5.83,25.87,7.11,Wheat,Vegetative,HEALTHY
20260724_123113,G_1_13,jpr_20240528_AB01_MS_aligned_sun-all,1,13,864,82,4300382.971930315,621338.3849467281,0.51788557,0.10160576,3.325671e-05,0.6178977272727273,62.21590909090909,48.211445,5.052983e-06,4.977077e-06,1.6139036e-05,31.51,73.18,2.0,1.65,28.79,6.27,Wheat,Vegetative,HEALTHY
20260724_123113,G_1_14,jpr_20240528_AB01_MS_aligned_sun-all,1,14,928,82,4300382.971930315,621341.584946709,0.52828926,0.1093829,3.50543e-05,0.9491477272727272,95.76704545454545,47.171074,5.129907e-06,5.1193683e-06,1.6815198e-05,34.17,66.16,7.66,3.58,41.06,7.11,Wheat,Vegetative,HEALTHY
20260724_123113,G_1_15,jpr_20240528_AB01_MS_aligned_sun-all,1,15,992,82,4300382.971930315,621344.7849466898,0.49509776,0.094442956,3.2337237e-05,1.0,100.0,50.490223,5.4158577e-06,5.0007206e-06,1.6195412e-05,32.05,69.03,12.13,1.6,33.37,6.81,Wheat,Vegetative,HEALTHY
20260724_123113,G_1_16,jpr_20240528_AB01_MS_aligned_sun-all,1,16,1056,82,4300382.971930315,621347.9849466707,0.52782303,0.114993215,3.3595337e-05,1.0,100.0,47.217697,4.891862e-06,4.9269197e-06,1.6090791e-05,32.08,74.96,14.65,1.75,47.22,6.8,Wheat,Vegetative,HEALTHY
20260724_123113,G_1_17,jpr_20240528_AB01_MS_aligned_sun-all,1,17,1120,82,4300382.971930315,621351.1849466516,0.54946035,0.12514639,3.5352445e-05,0.9392045454545455,94.74431818181817,45.053967,4.7367575e-06,4.8955308e-06,1.6521419e-05,30.1,65.14,9.76,4.28,27.22,6.58,Wheat,Vegetative,HEALTHY
20260724_123113,G_1_18,jpr_20240528_AB01_MS_aligned_sun-all,1,18,1184,82,4300382.971930315,621354.3849466324,0.5578754,0.12336738,3.5992456e-05,1.0,100.0,44.21246,4.651141e-06,4.8818406e-06,1.6649148e-05,34.68,75.42,7.0,4.11,31.98,7.18,Wheat,Vegetative,HEALTHY
20260724_123113,G_1_19,jpr_20240528_AB01_MS_aligned_sun-all,1,19,1248,82,4300382.971930315,621357.5849466133,0.5595048,0.12943502,3.7605012e-05,0.94375,94.74431818181817,44.04952,4.8048682e-06,5.0659355e-06,1.7340444e-05,28.47,67.93,3.27,4.35,37.85,6.35,Wheat,Vegetative,HEALTHY
20260724_123113,G_1_20,jpr_20240528_AB01_MS_aligned_sun-all,1,20,1312,82,4300382.971930315,621360.7849465943,0.53520906,0.12438127,3.483627e-05,0.5974431818181818,60.0,46.479095,4.9360583e-06,4.8775846e-06,1.654866e-05,30.85,69.27,7.72,3.32,31.23,7.57,Wheat,Vegetative,HEALTHY
20260724_123113,G_2_12,jpr_20240528_AB01_MS_aligned_sun-all,2,12,800,137,4300380.222121344,621335.1849467471,0.46725297,0.07806442,2.9068971e-05,0.7377840909090909,73.83522727272728,53.274704,5.4775305e-06,4.9454034e-06,1.5167593e-05,32.55,68.46,6.62,2.64,43.01,6.42,Wheat,Vegetative,HEALTHY
20260724_123113,G_2_13,jpr_20240528_AB01_MS_aligned_sun-all,2,13,864,137,4300380.222121344,621338.3849467281,0.518768,0.09629289,3.4024608e-05,0.9650568181818182,97.38636363636364,48.1232,5.179856e-06,5.2736386e-06,1.6521893e-05,29.64,73.52,0.89,2.77,41.98,6.74,Wheat,Vegetative,HEALTHY
