Mission_ID,Grid_ID,Image,Row,Col,Pixel_X,Pixel_Y,Northing,Easting,Average_NDVI,Average_NDRE,Average_SAVI,Vegetation_Ratio,Canopy_Coverage,Crop_Stress_Indicator,Average_Red,Average_Green,Average_NIR,Temperature,Humidity,Rainfall,Wind_Speed,Soil_Moisture,Soil_pH,Crop_Type,Crop_Growth_Stage,Status
20260724_123113,G_0_24,odm_orthophoto,0,24,1127,25,4299971.306088061,618824.5223674418,0.3141589,0.0043025496,2.1666436e-05,0.6095481670929241,60.954816709292416,68.58411,7.897841e-06,7.0665233e-06,1.5120321e-05,28.83,66.29,4.88,4.22,40.96,6.62,Wheat,Vegetative,MODERATE
20260724_123113,G_0_25,odm_orthophoto,0,25,1173,25,4299971.306088061,618826.8217871028,0.3220877,0.008152634,2.261647e-05,0.8640238704177323,86.40238704177324,67.79123,7.93637e-06,6.9296607e-06,1.5475547e-05,29.36,63.73,0.07,4.18,28.86,6.6,Wheat,Vegetative,MODERATE
20260724_123113,G_0_26,odm_orthophoto,0,26,1219,25,4299971.306088061,618829.1212067639,0.35086155,0.039703496,2.7176548e-05,0.9373401534526854,93.98976982097187,64.91385,8.727127e-06,8.360319e-06,1.7786499e-05,32.53,69.27,2.21,3.34,26.03,6.42,Wheat,Vegetative,HEALTHY
20260724_123113,G_0_27,odm_orthophoto,0,27,1265,25,4299971.306088061,618831.420626425,0.28057694,-0.026940435,1.8303232e-05,0.5997442455242967,59.974424552429674,71.94231,7.69455e-06,8.538551e-06,1.3795939e-05,27.96,82.23,0.68,4.87,26.66,6.9,Wheat,Vegetative,MODERATE
20260724_123113,G_1_22,odm_orthophoto,1,22,1035,76,4299968.756088099,618819.9235281196,0.31812084,0.023658646,1.5181515e-05,0.5839727195225917,58.39727195225917,68.18792,5.4200827e-06,5.6867398e-06,1.0480749e-05,31.05,66.18,3.05,4.32,30.51,7.04,Wheat,Vegetative,MODERATE
20260724_123113,G_1_23,odm_orthophoto,1,23,1081,76,4299968.756088099,618822.2229477807,0.33551988,0.037241668,1.6468342e-05,0.9765558397271952,97.65558397271951,66.448006,5.4312227e-06,5.820009e-06,1.092085e-05,31.69,76.27,9.3,2.0,31.81,7.37,Wheat,Vegetative,MODERATE
20260724_123113,G_1_24,odm_orthophoto,1,24,1127,76,4299968.756088099,618824.5223674418,0.33030996,0.035938814,1.7126364e-05,1.0,100.0,66.969,5.801772e-06,6.0603425e-06,1.15107605e-05,31.89,75.76,11.12,3.25,39.0,6.49,Wheat,Vegetative,MODERATE
20260724_123113,G_1_25,odm_orthophoto,1,25,1173,76,4299968.756088099,618826.8217871028,0.31728193,0.018478181,1.9200941e-05,1.0,100.0,68.271805,6.920254e-06,6.758778e-06,1.3320831e-05,28.85,76.43,0.64,0.53,26.17,6.83,Wheat,Vegetative,MODERATE
20260724_123113,G_1_26,odm_orthophoto,1,26,1219,76,4299968.756088099,618829.1212067639,0.33108473,0.030183192,2.5308142e-05,0.9803921568627451,98.20971867007673,66.891525,8.735052e-06,9.297561e-06,1.7171616e-05,34.1,68.09,3.04,1.07,34.37,6.19,Wheat,Vegetative,MODERATE
20260724_123113,G_1_27,odm_orthophoto,1,27,1265,76,4299968.756088099,618831.420626425,0.29552546,-0.012494758,1.5879219e-05,1.0,100.0,70.44746,6.3087214e-06,6.830634e-06,1.1601985e-05,29.16,73.77,14.39,1.13,32.63,6.98,Wheat,Vegetative,MODERATE
